"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far"
"1","10","13","0","335","0.34","26","2","0.9400000000000001","0.08","8","28","6.1000000000000005","26","true","1","350","370","10","790.3433020085006"
"1","20","8","19","325","0.19","54","17","0.15","0.13","4.4","38","0.5","23","true","3","90","100","10","786.9401547307149"
"1","30","21","12","485","0.79","21","3","0.79","0.19","8.2","26","2.6","1","true","5","70","490","10","742.5520169488238"
"1","40","90","11","185","0.22","5","2","0.36","0.1","2.2","20","1.9000000000000001","29","true","1","250","45","10","730.4849948839121"
"1","50","70","20","315","0.84","67","8","0.86","0.18","4.2","59","3.6","26","true","3","340","465","10","720.2221907867964"
"1","60","56","13","70","0.18","80","13","0.24","0.02","2.8","37","3.9000000000000004","8","false","3","140","215","10","714.2768143893775"
"1","140","56","13","315","0.44","64","20","0.79","0","7.6000000000000005","3","6.300000000000001","19","true","3","60","385","10","708.2256269204383"
"1","270","73","10","260","0.01","85","10","0.6","0.09","2.7","2","5.6000000000000005","12","false","3","180","215","10","693.5796382497307"
"1","480","3","8","405","0.9400000000000001","69","14","0.5","0.17","9.6","23","3.9000000000000004","3","true","2","160","205","10","693.5700330577749"
"2","10","65","19","410","0.23","33","19","0.96","0.11","4.300000000000001","23","3.3000000000000003","40","true","2","120","295","10","729.7201060390533"
"2","40","40","7","295","0.18","59","15","0.23","0.13","9.6","56","4.2","18","true","4","400","250","10","683.8874307644488"
"2","50","52","7","470","0.6","40","18","0.37","0.13","1.8","1","3.3000000000000003","28","false","5","110","145","10","682.99462419665"
"2","70","19","10","430","0.64","69","17","0.27","0","4","41","3.1","2","true","2","230","80","10","664.9066329340324"
"2","290","78","6","330","0.56","13","4","0","0.15","9.4","50","3","38","true","5","0","150","10","663.309012863612"
"3","10","1","11","465","0.5700000000000001","70","10","0.87","0.14","4.2","11","1.1","9","true","3","140","385","10","784.190151069458"
"3","20","43","10","480","0.71","80","8","0.2","0.18","2","43","3.5","32","false","4","300","25","10","748.855030950723"
"3","30","59","4","65","0.99","2","9","0.99","0.03","3.2","35","5","11","false","5","250","245","10","693.7123633507694"
"3","130","72","0","55","0.65","34","1","0.61","0.12","1.2","44","4.1000000000000005","28","true","3","0","35","10","691.433549411873"
"3","250","83","8","190","0.04","63","9","0.32","0.03","2.2","15","5.9","15","true","3","210","310","10","687.1143559854113"
"3","280","20","4","285","0.42","100","17","0.22","0.15","7.1000000000000005","15","3.7","43","true","3","230","80","10","654.0949433717054"
"4","10","77","20","335","0.72","35","8","0.17","0.15","8.100000000000001","53","2.1","8","false","4","340","180","10","714.311787602561"
"4","30","57","17","205","0.1","22","19","0.07","0.03","3.7","55","1.1","18","false","4","390","470","10","702.6241116124077"
"4","60","14","6","95","0.91","19","7","0.9400000000000001","0.05","6.800000000000001","13","5.9","5","false","4","250","260","10","640.0116732210803"
"5","10","51","14","25","0.67","57","13","0.12","0.17","9.700000000000001","40","2.4000000000000004","4","true","2","290","145","10","755.4799456242094"
"5","20","1","8","445","0.63","15","17","0.64","0.07","4.2","13","5.1000000000000005","26","true","3","250","405","10","744.6449404394273"
"5","30","89","9","75","0.9","8","0","0.19","0.03","8.9","42","5.300000000000001","43","true","5","50","285","10","698.2846329047991"
"5","60","59","0","460","0.52","83","19","0.87","0.17","8.100000000000001","42","0","38","false","5","270","265","10","679.0599801561814"
"5","130","65","19","55","0.79","30","14","0.64","0.1","8.7","8","2.7","10","false","1","310","365","10","676.251938978223"
"6","10","100","11","335","0.59","84","15","0.62","0.02","4.300000000000001","60","3.8000000000000003","18","false","3","20","460","10","833.6688627433496"
"6","20","53","18","230","0.71","72","15","0.61","0.08","4.2","50","4.6000000000000005","41","true","3","150","305","10","758.9927664729674"
"6","30","8","5","490","0.97","57","2","0.51","0","1.1","10","6.300000000000001","10","false","5","0","435","10","687.8557852170115"
"6","300","13","6","230","0.9400000000000001","26","2","0.78","0.13","8.8","57","3.3000000000000003","5","false","3","50","45","10","668.59127821262"
"6","450","86","1","325","0.77","98","17","0.72","0.18","1.5","30","2.2","16","true","4","390","480","10","643.6946921723045"
"7","10","5","13","200","0.9400000000000001","52","4","0.11","0.09","8.100000000000001","12","0.7000000000000001","3","false","5","320","305","10","743.908849301966"
"7","20","99","15","240","0.86","100","5","0.24","0.08","4.2","19","0","13","false","4","320","60","10","677.31693631826"
"7","40","63","6","80","0.8200000000000001","6","15","0.84","0.08","6.800000000000001","52","4.4","18","false","4","290","430","10","653.540163655003"
"7","100","15","2","175","0.2","78","17","0.22","0.01","6.9","0","0.7000000000000001","13","true","4","240","475","10","640.6016922403498"
"8","10","2","2","360","0.8200000000000001","93","12","0.41000000000000003","0","4.2","17","0.4","5","true","3","290","195","10","703.0498398633594"
"8","30","47","6","495","0.7000000000000001","14","6","0.76","0.08","8.9","8","4.2","36","false","1","70","230","10","645.4943867264541"
"9","10","3","11","485","0.8300000000000001","21","2","0.43","0.1","9.4","15","2","41","false","1","310","350","10","714.0162836473573"
"9","80","52","2","155","0.51","94","19","0.28","0.17","6.9","17","6.300000000000001","23","false","1","140","30","10","673.1063758275745"
"9","90","94","1","415","0.32","8","15","0.35000000000000003","0.12","6.300000000000001","19","5.5","13","true","1","290","400","10","669.5167769250661"
"9","320","30","1","45","0.65","68","15","0.02","0.19","3","53","4.9","37","true","2","30","255","10","668.3774938206268"
"10","10","47","19","125","0.15","90","6","0.8200000000000001","0","3.7","41","3.2","27","true","2","250","45","10","701.5498213739434"
"10","70","69","11","215","0.33","40","10","0.23","0.02","9.9","57","0","29","false","1","300","265","10","668.2601380026048"
"10","110","41","8","480","0","95","6","0.44","0.17","2","55","1.5","41","true","3","380","345","10","657.4056966786009"
